url,source,review.css,price.css
http://www.yesstyle.com/en/jy-shoes-elastic-over-the-knee-boots-black-39/info.html/pid.1037603317,yesstyle,.reviewContent,.finalprice
http://www.dillards.com/p/ugg-bailey-button-over-the-knee-boots/505633183?di=04591261_zi_black&categoryId=590159&facetCache=pageSize%3D100%26beginIndex%3D0%26orderBy%3D5%26facet%3D-1747911810111432841041013275110101101,dillards,.pr-comments,#mainPrice .price-number
http://www.zappos.com/stuart-weitzman-lowland?orderBy=latest,zappos,.reviewContent,.nowPrice
http://www.zappos.com/dirty-laundry-rain-dance-black?orderBy=latest,zappos,.reviewContent,.nowPrice
http://www.zappos.com/frye-riding-chelsea-black?orderBy=latest,zappos,.reviewContent,.nowPrice
http://www.dillards.com/p/bed-stu-cobbler-manchester-ii-riding-boots/503488461?di=03913723_zi_tan_rustic&categoryId=590159&facetCache=pageSize%3D100%26beginIndex%3D0%26orderBy%3D5%26facet%3D-1747911810111432841041013275110101101,dillards,.pr-comments,#mainPrice .price-number
http://www.yesstyle.com/en/yeswalker-cheetah-pattern-tall-boots-black-41/info.html/pid.1031406954,yesstyle,.reviewContent,.finalprice
